(base) kacper@macbook-pro-kacper-3 NYPD_project_final % python main.py /Users/kacper/Desktop/NYPD_project_final/data /Users/kacper/Desktop/NYPD_project_final/results
Analysis complete. Results have been saved in: /Users/kacper/Desktop/NYPD_project_final/results
         3961048 function calls (3956168 primitive calls) in 2.906 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(append)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_equal)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_1d)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
        9    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(average)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(bincount)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_to)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(clip)
       57    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(concatenate)
       94    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
        9    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(corrcoef)
        9    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(cov)
       24    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(delete)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diag)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diagonal)
        9    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(insert)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(iscomplexobj)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(moveaxis)
       18    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(prod)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(sort)
       12    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(vstack)
   231/10    0.002    0.000    0.507    0.051 <frozen importlib._bootstrap>:1002(_find_and_load)
      8/7    0.000    0.000    0.501    0.072 <frozen importlib._bootstrap>:1018(_gcd_import)
  250/245    0.001    0.000    0.089    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
